Year,Albania,Australia,Canada,Czech,Denmark,Estonia,Finland,France,Georgia,Germany,Hungary,Italy,Jordan,Latvia,Lithuania,NATO,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Slovakia,South Korea,Spain,Sweden,Turkey,United Kingdom,United States,Total
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
2002,0,1,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,51
2003,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,43
2004,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,49,57
2005,0,0,1,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,0,0,1,1,0,0,18,2,0,1,93,125
2006,0,0,36,0,0,0,0,6,0,0,0,6,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,39,88,181
2007,0,3,30,1,6,2,1,3,0,7,0,2,0,0,0,0,8,0,2,1,1,1,0,1,4,0,0,42,111,226
2008,0,3,32,2,13,1,0,11,0,3,2,2,0,1,1,0,6,0,0,7,0,3,0,0,2,0,0,51,153,293
2009,0,4,32,0,7,4,0,11,0,7,0,9,1,2,0,0,3,0,1,8,0,3,0,0,1,0,2,105,310,510
2010,0,10,16,0,9,1,0,16,5,9,2,12,0,0,0,0,4,1,5,6,0,6,0,0,4,3,0,103,496,708
2011,0,11,4,2,3,1,1,26,5,7,3,8,1,0,0,6,0,4,1,13,0,2,0,0,4,0,0,46,412,560
2012,1,7,0,0,0,0,0,8,7,0,0,5,0,0,0,2,0,6,0,0,0,0,0,0,0,0,12,44,301,393
2013,0,1,0,0,1,0,0,0,10,1,0,1,0,0,0,2,0,0,0,4,0,2,3,0,0,0,0,9,121,155
2014,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,6,55,75
2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,22,27
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,16
2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,17
2018,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
