id,year,month,day,country,count_total,location,intlorg,operational_org
1,2007,01,29,Albania,30,Afghanistan,NATO,ISAF
2,2007,01,29,Australia,500,Afghanistan,NATO,ISAF
3,2007,01,29,Austria,5,Afghanistan,NATO,ISAF
4,2007,01,29,Azerbaijan,20,Afghanistan,NATO,ISAF
5,2007,01,29,Belgium,300,Afghanistan,NATO,ISAF
6,2007,01,29,Bulgaria,100,Afghanistan,NATO,ISAF
7,2007,01,29,Canada,2500,Afghanistan,NATO,ISAF
8,2007,01,29,Croatia,130,Afghanistan,NATO,ISAF
9,2007,01,29,Czech Republic,150,Afghanistan,NATO,ISAF
10,2007,01,29,Denmark,400,Afghanistan,NATO,ISAF
11,2007,01,29,Estonia,90,Afghanistan,NATO,ISAF
12,2007,01,29,Finland,70,Afghanistan,NATO,ISAF
13,2007,01,29,France,1000,Afghanistan,NATO,ISAF
14,2007,01,29,The former Yugoslav Republic of Macedonia,120,Afghanistan,NATO,ISAF
15,2007,01,29,Germany,3000,Afghanistan,NATO,ISAF
16,2007,01,29,Greece,170,Afghanistan,NATO,ISAF
17,2007,01,29,Hungary,180,Afghanistan,NATO,ISAF
18,2007,01,29,Ireland,10,Afghanistan,NATO,ISAF
19,2007,01,29,Italy,1950,Afghanistan,NATO,ISAF
20,2007,01,29,Latvia,35,Afghanistan,NATO,ISAF
21,2007,01,29,Lithuania,130,Afghanistan,NATO,ISAF
22,2007,01,29,Luxembourg,10,Afghanistan,NATO,ISAF
23,2007,01,29,Netherlands,220,Afghanistan,NATO,ISAF
24,2007,01,29,New Zealand,100,Afghanistan,NATO,ISAF
25,2007,01,29,Iceland,5,Afghanistan,NATO,ISAF
26,2007,01,29,Norway,350,Afghanistan,NATO,ISAF
27,2007,01,29,Poland,160,Afghanistan,NATO,ISAF
28,2007,01,29,Portugal,150,Afghanistan,NATO,ISAF
29,2007,01,29,Romania,750,Afghanistan,NATO,ISAF
30,2007,01,29,Slovakia,60,Afghanistan,NATO,ISAF
31,2007,01,29,Slovenia,50,Afghanistan,NATO,ISAF
32,2007,01,29,Spain,550,Afghanistan,NATO,ISAF
33,2007,01,29,Sweden,180,Afghanistan,NATO,ISAF
34,2007,01,29,Switzerland,5,Afghanistan,NATO,ISAF
35,2007,01,29,Turkey,800,Afghanistan,NATO,ISAF
36,2007,01,29,United Kingdom,5200,Afghanistan,NATO,ISAF
37,2007,01,29,United States,14000,Afghanistan,NATO,ISAF
38,2007,03,14,Albania,30,Afghanistan,NATO,ISAF
39,2007,03,14,Australia,500,Afghanistan,NATO,ISAF
40,2007,03,14,Austria,5,Afghanistan,NATO,ISAF
41,2007,03,14,Azerbaijan,20,Afghanistan,NATO,ISAF
42,2007,03,14,Belgium,300,Afghanistan,NATO,ISAF
43,2007,03,14,Bulgaria,100,Afghanistan,NATO,ISAF
44,2007,03,14,Canada,2500,Afghanistan,NATO,ISAF
45,2007,03,14,Croatia,130,Afghanistan,NATO,ISAF
46,2007,03,14,Czech Republic,150,Afghanistan,NATO,ISAF
47,2007,03,14,Denmark,400,Afghanistan,NATO,ISAF
48,2007,03,14,Estonia,90,Afghanistan,NATO,ISAF
49,2007,03,14,Finland,70,Afghanistan,NATO,ISAF
50,2007,03,14,France,1000,Afghanistan,NATO,ISAF
51,2007,03,14,The former Yugoslav Republic of Macedonia,120,Afghanistan,NATO,ISAF
52,2007,03,14,Germany,3000,Afghanistan,NATO,ISAF
53,2007,03,14,Greece,170,Afghanistan,NATO,ISAF
54,2007,03,14,Hungary,180,Afghanistan,NATO,ISAF
55,2007,03,14,Ireland,10,Afghanistan,NATO,ISAF
56,2007,03,14,Italy,1950,Afghanistan,NATO,ISAF
57,2007,03,14,Latvia,35,Afghanistan,NATO,ISAF
58,2007,03,14,Lithuania,130,Afghanistan,NATO,ISAF
59,2007,03,14,Luxembourg,10,Afghanistan,NATO,ISAF
60,2007,03,14,Netherlands,2200,Afghanistan,NATO,ISAF
61,2007,03,14,New Zealand,100,Afghanistan,NATO,ISAF
62,2007,03,14,Iceland,5,Afghanistan,NATO,ISAF
63,2007,03,14,Norway,500,Afghanistan,NATO,ISAF
64,2007,03,14,Poland,300,Afghanistan,NATO,ISAF
65,2007,03,14,Portugal,150,Afghanistan,NATO,ISAF
66,2007,03,14,Romania,750,Afghanistan,NATO,ISAF
67,2007,03,14,Slovakia,60,Afghanistan,NATO,ISAF
68,2007,03,14,Slovenia,50,Afghanistan,NATO,ISAF
69,2007,03,14,Spain,550,Afghanistan,NATO,ISAF
70,2007,03,14,Sweden,180,Afghanistan,NATO,ISAF
71,2007,03,14,Switzerland,5,Afghanistan,NATO,ISAF
72,2007,03,14,Turkey,800,Afghanistan,NATO,ISAF
73,2007,03,14,United Kingdom,5200,Afghanistan,NATO,ISAF
74,2007,03,14,United States,15000,Afghanistan,NATO,ISAF
75,2007,04,20,Albania,30,Afghanistan,NATO,ISAF
76,2007,04,20,Australia,500,Afghanistan,NATO,ISAF
77,2007,04,20,Austria,5,Afghanistan,NATO,ISAF
78,2007,04,20,Azerbaijan,20,Afghanistan,NATO,ISAF
79,2007,04,20,Belgium,300,Afghanistan,NATO,ISAF
80,2007,04,20,Bulgaria,100,Afghanistan,NATO,ISAF
81,2007,04,20,Canada,2500,Afghanistan,NATO,ISAF
82,2007,04,20,Croatia,130,Afghanistan,NATO,ISAF
83,2007,04,20,Czech Republic,150,Afghanistan,NATO,ISAF
84,2007,04,20,Denmark,400,Afghanistan,NATO,ISAF
85,2007,04,20,Estonia,90,Afghanistan,NATO,ISAF
86,2007,04,20,Finland,70,Afghanistan,NATO,ISAF
87,2007,04,20,France,1000,Afghanistan,NATO,ISAF
88,2007,04,20,The former Yugoslav Republic of Macedonia,120,Afghanistan,NATO,ISAF
89,2007,04,20,Germany,3000,Afghanistan,NATO,ISAF
90,2007,04,20,Greece,170,Afghanistan,NATO,ISAF
91,2007,04,20,Hungary,180,Afghanistan,NATO,ISAF
92,2007,04,20,Ireland,10,Afghanistan,NATO,ISAF
93,2007,04,20,Italy,1950,Afghanistan,NATO,ISAF
94,2007,04,20,Latvia,35,Afghanistan,NATO,ISAF
95,2007,04,20,Lithuania,130,Afghanistan,NATO,ISAF
96,2007,04,20,Luxembourg,10,Afghanistan,NATO,ISAF
97,2007,04,20,Netherlands,220,Afghanistan,NATO,ISAF
98,2007,04,20,New Zealand,100,Afghanistan,NATO,ISAF
99,2007,04,20,Iceland,5,Afghanistan,NATO,ISAF
100,2007,04,20,Norway,500,Afghanistan,NATO,ISAF
101,2007,04,20,Poland,300,Afghanistan,NATO,ISAF
102,2007,04,20,Portugal,150,Afghanistan,NATO,ISAF
103,2007,04,20,Romania,750,Afghanistan,NATO,ISAF
104,2007,04,20,Slovakia,60,Afghanistan,NATO,ISAF
105,2007,04,20,Slovenia,50,Afghanistan,NATO,ISAF
106,2007,04,20,Spain,550,Afghanistan,NATO,ISAF
107,2007,04,20,Sweden,180,Afghanistan,NATO,ISAF
108,2007,04,20,Switzerland,5,Afghanistan,NATO,ISAF
109,2007,04,20,Turkey,800,Afghanistan,NATO,ISAF
110,2007,04,20,United Kingdom,5200,Afghanistan,NATO,ISAF
111,2007,04,20,United States,15000,Afghanistan,NATO,ISAF
112,2007,05,31,Albania,30,Afghanistan,NATO,ISAF
113,2007,05,31,Australia,500,Afghanistan,NATO,ISAF
114,2007,05,31,Austria,2,Afghanistan,NATO,ISAF
115,2007,05,31,Azerbaijan,20,Afghanistan,NATO,ISAF
116,2007,05,31,Belgium,300,Afghanistan,NATO,ISAF
117,2007,05,31,Bulgaria,100,Afghanistan,NATO,ISAF
118,2007,05,31,Canada,2500,Afghanistan,NATO,ISAF
119,2007,05,31,Croatia,180,Afghanistan,NATO,ISAF
120,2007,05,31,Czech Republic,150,Afghanistan,NATO,ISAF
121,2007,05,31,Denmark,400,Afghanistan,NATO,ISAF
122,2007,05,31,Estonia,130,Afghanistan,NATO,ISAF
123,2007,05,31,Finland,70,Afghanistan,NATO,ISAF
124,2007,05,31,France,1000,Afghanistan,NATO,ISAF
125,2007,05,31,The former Yugoslav Republic of Macedonia,120,Afghanistan,NATO,ISAF
126,2007,05,31,Germany,3000,Afghanistan,NATO,ISAF
127,2007,05,31,Greece,170,Afghanistan,NATO,ISAF
128,2007,05,31,Hungary,180,Afghanistan,NATO,ISAF
129,2007,05,31,Ireland,5,Afghanistan,NATO,ISAF
130,2007,05,31,Italy,1950,Afghanistan,NATO,ISAF
131,2007,05,31,Latvia,35,Afghanistan,NATO,ISAF
132,2007,05,31,Lithuania,130,Afghanistan,NATO,ISAF
133,2007,05,31,Luxembourg,10,Afghanistan,NATO,ISAF
134,2007,05,31,Netherlands,220,Afghanistan,NATO,ISAF
135,2007,05,31,New Zealand,7,Afghanistan,NATO,ISAF
136,2007,05,31,Iceland,9,Afghanistan,NATO,ISAF
137,2007,05,31,Norway,500,Afghanistan,NATO,ISAF
138,2007,05,31,Poland,1100,Afghanistan,NATO,ISAF
139,2007,05,31,Portugal,150,Afghanistan,NATO,ISAF
140,2007,05,31,Romania,750,Afghanistan,NATO,ISAF
141,2007,05,31,Slovakia,60,Afghanistan,NATO,ISAF
142,2007,05,31,Slovenia,50,Afghanistan,NATO,ISAF
143,2007,05,31,Spain,650,Afghanistan,NATO,ISAF
144,2007,05,31,Sweden,260,Afghanistan,NATO,ISAF
145,2007,05,31,Switzerland,2,Afghanistan,NATO,ISAF
146,2007,05,31,Turkey,1200,Afghanistan,NATO,ISAF
147,2007,05,31,United Kingdom,6700,Afghanistan,NATO,ISAF
148,2007,05,31,United States,17000,Afghanistan,NATO,ISAF
149,2007,07,13,Albania,30,Afghanistan,NATO,ISAF
150,2007,07,13,Australia,700,Afghanistan,NATO,ISAF
151,2007,07,13,Austria,2,Afghanistan,NATO,ISAF
152,2007,07,13,Azerbaijan,20,Afghanistan,NATO,ISAF
153,2007,07,13,Belgium,295,Afghanistan,NATO,ISAF
154,2007,07,13,Bulgaria,400,Afghanistan,NATO,ISAF
155,2007,07,13,Canada,2500,Afghanistan,NATO,ISAF
156,2007,07,13,Croatia,175,Afghanistan,NATO,ISAF
157,2007,07,13,Czech Republic,220,Afghanistan,NATO,ISAF
158,2007,07,13,Denmark,400,Afghanistan,NATO,ISAF
159,2007,07,13,Estonia,110,Afghanistan,NATO,ISAF
160,2007,07,13,Finland,70,Afghanistan,NATO,ISAF
161,2007,07,13,France,800,Afghanistan,NATO,ISAF
162,2007,07,13,The former Yugoslav Republic of Macedonia,120,Afghanistan,NATO,ISAF
163,2007,07,13,Germany,3000,Afghanistan,NATO,ISAF
164,2007,07,13,Greece,145,Afghanistan,NATO,ISAF
165,2007,07,13,Hungary,180,Afghanistan,NATO,ISAF
166,2007,07,13,Ireland,5,Afghanistan,NATO,ISAF
167,2007,07,13,Italy,2500,Afghanistan,NATO,ISAF
168,2007,07,13,Latvia,35,Afghanistan,NATO,ISAF
169,2007,07,13,Lithuania,130,Afghanistan,NATO,ISAF
170,2007,07,13,Luxembourg,10,Afghanistan,NATO,ISAF
171,2007,07,13,Netherlands,1300,Afghanistan,NATO,ISAF
