country,troops_active,troops_isaf,troops_oef,troops_total,isaf_ratio,ccode,cinc,milper,milex,tpop,contig,distance,usuk,ideal_point,eigen,us_dist,uk_dist,nato
Albania,27e3,30,0,30,0.001111111,339,3.86e-4,27,59000,3093,6,2697,0,1.096015,0.06539849191904068,1.5314860000000001,0.5781320000000001,0
Algeria,136700,0,0,0,0,615,0.005234,136,2098000,31332,6,3643,0,-1.130334,0.07079406082630157,3.757835,2.804481,0
Angola,1e5,0,0,0,0,540,0.002114,100,1000000,15164,6,4727,0,-0.5753523,0.07835126668214798,3.2028533,2.2494993,0
Antigua  Barbuda,170,0,0,0,0,58,3e-6,0,4000,78,6,7642,1,-0.5105761,0.0786937028169632,3.1380771000000003,2.1847231000000003,0
Argentina,69900,0,0,0,0,160,0.004844,69,1466000,37516,6,9513,1,0.2893591,0.07542351633310318,2.3381419,1.3847879,0
Armenia,44610,0,0,0,0,371,7.06e-4,44,700000,3212,6,1407,0,0.1951978,0.07631144672632217,2.4323032,1.4789492,0
Australia,50920,0,150,150,0.002945797,900,0.006866,51,9299000,19651,6,5183,1,1.123143,0.06488978117704391,1.504358,0.551004,0
Austria,34600,45,0,45,0.001300578,305,0.002544,35,1532000,8084,6,2839,0,0.8902777,0.06859365105628967,1.7372233000000001,0.7838693000000001,0
Azerbaijan,72100,0,0,0,0,373,0.001614,72,900000,8172,6,1131,0,-0.08232272,0.07824741303920746,2.70982372,1.7564697200000001,0
Bahamas,860,0,0,0,0,31,4.2e-5,1,28000,312,6,7779,1,-0.3275059,0.07903634756803513,2.9550069,2.0016529,0
Bahrain,10700,0,0,0,0,692,3.79e-4,11,332000,711,6,1246,0,-1.03062,0.07258040457963943,3.6581210000000004,2.7047670000000004,0
Bangladesh,137e3,0,0,0,0,771,0.007954,137,607000,132900,6,1480,0,-0.8779485,0.07510068267583847,3.5054495,2.5520955,0
Barbados,610,0,0,0,0,53,1.9e-5,1,13000,271,6,7745,1,-0.3363183,0.07904218882322311,2.9638193,2.0104653,0
Belarus,79800,0,0,0,0,370,0.002994,80,2400000,9925,6,2409,0,-0.1593055,0.07858684659004211,2.7868065,1.8334525,0
Belgium,39260,20,0,20,5.09424e-4,211,0.005106,39,3155000,10333,6,3366,1,1.136482,0.06463078409433365,1.491019,0.5376650000000001,1
Belize,1050,0,0,0,0,80,1.9e-5,1,14000,265,6,8586,1,-0.4035241,0.07901445776224136,3.0310251,2.0776711,0
Benin,4550,0,0,0,0,434,3.38e-4,5,49000,6696,6,4639,0,-0.6629437,0.07768959552049637,3.2904447,2.3370907,0
Bolivia,31500,0,0,0,0,145,9.49e-4,32,145000,8824,6,9536,1,-0.2074962,0.07877698540687561,2.8349972,1.8816432,0
Bosnia and Herzegovina,0,0,0,0,NA,346,4.21e-4,20,185000,3828,6,2754,0,0.9743765,0.0673626959323883,1.6531245,0.6997705000000001,0
Botswana,9e3,0,0,0,0,571,1.86e-4,9,229000,1650,6,4980,0,-0.5311706,0.0785922259092331,3.1586716,2.2053176,0
Brazil,287600,0,0,0,0,140,0.024523,288,9665000,176304,6,8370,1,-0.03997034,0.0780363380908966,2.66747134,1.71411734,0
Brunei,7e3,0,0,0,0,835,1.45e-4,7,268000,344,6,3569,0,-0.8646743,0.07529593259096146,3.4921753,2.5388213,0
Bulgaria,68450,30,0,30,4.38276e-4,355,0.001656,68,397000,7869,6,2511,0,1.112336,0.06509409844875336,1.515165,0.5618110000000001,0
Burkina Faso,10200,0,0,0,0,439,5.3e-4,10,48000,11906,6,4648,0,-0.864741,0.07529497146606445,3.492242,2.538888,0
Burundi,45500,0,0,0,0,516,6.27e-4,46,61000,7032,6,3683,0,-0.7234624,0.07707741856575012,3.3509634,2.3976094,0
Cambodia,125e3,0,0,0,0,811,0.001502,125,67000,13164,6,2750,0,-0.7504118,0.0767766535282135,3.3779128,2.4245588,0
Cameroon,23100,0,0,0,0,471,9.52e-4,23,146000,16170,6,4250,0,-0.5133071,0.07868117839097977,3.1408081,2.1874541,0
