ISAF RC,kidnappings_2004-2006,kidnappings_2007,kidnappings_2008,kidnappings_2009,kidnappings_2010,kidnappings_2004-2010,kidnappings_per100k
RC North,1,12,13,90,250,366,6
Kunduz,0,0,3,16,19,38,9
RC East,125,175,259,291,375,"1,225",10
Ghazni,25,81,47,28,46,227,21
Kunar,7,13,28,53,112,213,22
RC South,124,46,62,49,95,376,18
Uruzgan,5,8,1,37,3,54,16
Kandahar,74,17,25,6,75,197,18
RC South West,35,43,14,60,18,170,17
Helmand,25,26,2,39,15,107,12
RC West,25,15,252,129,214,635,8
Herat,4,4,37,48,56,149,8
