ccode1,ccode2,year,ccdistance
2,20,2001,0
2,31,2001,957
2,40,2001,1129
2,41,2001,1437
2,42,2001,1477
2,51,2001,1447
2,52,2001,2176
2,53,2001,2079
2,54,2001,1889
2,55,2001,2082
2,56,2001,1981
2,57,2001,2028
2,58,2001,1764
2,60,2001,1726
2,70,2001,0
2,80,2001,1658
2,90,2001,1870
2,91,2001,1826
2,92,2001,1896
2,93,2001,1936
2,94,2001,2052
2,95,2001,2077
2,100,2001,2380
2,101,2001,2062
2,110,2001,2513
2,115,2001,2665
2,130,2001,2708
2,135,2001,3525
2,140,2001,4225
2,145,2001,3875
2,150,2001,4612
2,155,2001,5021
2,160,2001,5217
2,165,2001,5274
2,200,2001,3668
2,205,2001,3384
2,210,2001,3850
2,211,2001,3865
2,212,2001,3970
2,220,2001,3832
2,221,2001,4200
2,223,2001,4184
2,225,2001,4104
2,230,2001,3787
2,232,2001,3971
2,235,2001,3567
2,255,2001,4172
2,290,2001,4462
2,305,2001,4428
2,310,2001,4562
2,316,2001,4291
2,317,2001,4461
2,325,2001,4487
2,331,2001,4414
2,338,2001,4801
2,339,2001,4827
2,343,2001,4869
2,344,2001,4499
2,345,2001,4719
2,346,2001,4670
2,349,2001,4428
2,350,2001,5132
2,352,2001,5667
2,355,2001,4920
2,359,2001,4958
2,360,2001,4960
2,365,2001,4474
2,366,2001,4329
2,367,2001,4398
2,368,2001,4522
2,369,2001,4871
2,370,2001,4628
2,371,2001,5849
2,372,2001,5780
2,373,2001,6023
2,375,2001,4308
2,380,2001,4125
2,385,2001,3875
2,390,2001,4049
2,395,2001,2806
2,402,2001,3630
2,403,2001,5874
2,404,2001,4181
2,411,2001,5836
2,420,2001,4060
2,432,2001,4553
2,433,2001,3963
2,434,2001,5386
2,435,2001,3903
2,436,2001,5061
2,437,2001,4947
2,438,2001,4381
2,439,2001,4913
2,450,2001,4676
2,451,2001,4452
2,452,2001,5274
2,461,2001,5326
2,471,2001,5978
2,475,2001,5515
2,481,2001,6018
2,482,2001,6335
2,483,2001,5810
2,484,2001,6533
2,490,2001,6538
2,500,2001,7256
2,501,2001,7550
2,510,2001,7928
2,516,2001,7251
2,517,2001,7225
2,520,2001,7828
2,522,2001,7253
2,530,2001,7132
2,531,2001,6870
2,540,2001,6621
2,541,2001,8344
2,551,2001,7705
2,552,2001,7951
2,553,2001,7942
2,560,2001,7906
2,565,2001,7406
2,570,2001,8197
2,571,2001,7943
2,572,2001,8280
2,580,2001,8879
2,581,2001,8351
2,590,2001,9459
2,591,2001,8648
2,600,2001,3820
2,615,2001,4225
2,616,2001,4565
2,620,2001,4855
2,625,2001,6550
2,630,2001,6330
2,640,2001,5425
2,645,2001,6199
2,651,2001,5814
2,652,2001,5868
2,660,2001,5818
2,663,2001,5927
2,666,2001,5905
2,670,2001,6747
2,679,2001,7115
2,690,2001,6545
2,692,2001,6814
2,694,2001,6902
2,696,2001,7055
2,698,2001,7257
2,700,2001,6929
2,701,2001,6425
2,702,2001,6667
2,703,2001,6519
2,704,2001,6507
2,705,2001,6532
2,710,2001,5904
2,712,2001,5785
2,713,2001,6490
2,731,2001,5592
2,732,2001,5608
2,740,2001,5135
2,750,2001,7492
2,760,2001,7476
2,770,2001,7075
2,771,2001,7685
2,775,2001,7913
2,780,2001,8948
2,781,2001,8924
2,790,2001,7571
2,800,2001,7920
2,811,2001,7858
2,812,2001,7603
2,816,2001,7306
2,820,2001,8444
2,830,2001,8442
2,835,2001,7731
2,840,2001,6967
2,850,2001,8664
2,900,2001,7574
2,910,2001,6639
2,920,2001,6749
2,935,2001,5902
2,940,2001,5954
2,946,2001,4779
2,947,2001,4933
2,950,2001,5444
2,955,2001,5273
2,970,2001,5194
2,983,2001,4620
2,986,2001,6612
2,987,2001,5347
2,990,2001,4787
20,31,2001,1409
20,40,2001,1579
20,41,2001,1869
20,42,2001,1893
20,51,2001,1897
20,52,2001,2547
20,53,2001,2426
20,54,2001,2243
20,55,2001,2450
20,56,2001,2337
20,57,2001,2389
20,58,2001,2114
20,60,2001,2084
20,70,2001,2241
20,80,2001,2089
20,90,2001,2298
20,91,2001,2268
20,92,2001,2332
20,93,2001,2383
20,94,2001,2504
20,95,2001,2531
20,100,2001,2825
20,101,2001,2470
20,110,2001,2870
20,115,2001,3003
20,130,2001,3161
20,135,2001,3975
20,140,2001,4577
20,145,2001,4308
