name,ccode,year,cinc,milper,milex,tpop,contig,distance,usuk,ideal_point,eigen,us_dist,uk_dist
Albania,339,2001,3.84e-4,27,106000,3074,6,2697,0,1.25836,0.06378533691167831,1.3177429999999999,0.36770500000000017
Albania,339,2002,3.86e-4,27,59000,3093,6,2697,0,1.096015,0.06539849191904068,1.5314860000000001,0.5781320000000001
Albania,339,2003,3.43e-4,22,76000,3111,-9,2697,0,1.213913,0.06292407959699631,1.582448,0.455859
Albania,339,2004,3.41e-4,21,105000,3127,-9,2697,0,1.230883,0.06127764657139778,1.540123,0.403945
Albania,339,2005,3.43e-4,21,116000,3142,-9,2697,0,1.483095,0.05640202760696411,1.4113440000000002,0.18815800000000005
Albania,339,2006,3.58e-4,22,141000,3151,-9,2697,0,1.128734,0.0633755549788475,1.7507050000000002,0.40419800000000006
Algeria,615,2001,0.005416,124,3149000,30872,6,3643,0,-1.130382,0.0723910853266716,3.706485,2.756447
Algeria,615,2002,0.005234,136,2098000,31332,6,3643,0,-1.130334,0.07079406082630157,3.757835,2.804481
Algeria,615,2003,0.004953,127,2206000,31848,-9,3643,0,-1.076092,0.07174036651849747,3.872453,2.745864
Algeria,615,2004,0.005054,132,2805000,32364,-9,3643,0,-1.080228,0.07096289098262787,3.851234,2.7150559999999997
Algeria,615,2005,0.00516,137,2877000,32906,-9,3643,0,-0.9846127,0.07250841706991196,3.8790517,2.6558657
Algeria,615,2006,0.005122,138,3096000,33481,-9,3643,0,-1.197621,0.06838936358690262,4.07706,2.730553
Andorra,232,2001,2e-6,0,0,66,6,3606,0,1.038239,0.06791376322507858,1.537864,0.5878260000000002
Andorra,232,2002,2e-6,0,0,66,6,3606,0,0.9050529,0.06838448345661163,1.7224481,0.7690941
Andorra,232,2003,2e-6,0,0,70,-9,3606,0,0.8839684,0.0682460218667984,1.9123926,0.7858036
Andorra,232,2004,2e-6,0,0,75,-9,3606,0,0.9023741,0.06716413050889969,1.8686319,0.7324539
Andorra,232,2005,3e-6,0,0,79,-9,3606,0,0.8480403,0.06775473803281784,2.0463987,0.8232127000000001
Andorra,232,2006,3e-6,0,0,80,-9,3606,0,1.015528,0.06549696624279022,1.863911,0.517404
Angola,540,2001,0.002037,130,1470000,12883,6,4727,0,-0.3515904,0.08092809468507767,2.9276934,1.9776554000000002
Angola,540,2002,0.002114,100,1000000,15164,6,4727,0,-0.5753523,0.07835126668214798,3.2028533,2.2494993
Angola,540,2003,0.002119,120,366000,15647,-9,4727,0,-0.4173741,0.07838843762874603,3.2137351,2.0871461
Angola,540,2004,0.002275,114,958000,16135,-9,4727,0,-0.510123,0.07775361090898514,3.281129,2.144951
Angola,540,2005,0.002297,108,1189000,16618,-9,4727,0,-0.5129637,0.07779251039028168,3.4074027000000005,2.1842167000000003
Angola,540,2006,0.002371,108,1588000,17089,-9,4727,0,-0.4455997,0.07759211957454681,3.3250387,1.9785317
Antigua  Barbuda,58,2001,3e-6,0,4000,77,6,7642,1,-0.6503745,0.07979566603899002,3.2264774999999997,2.2764395
Antigua  Barbuda,58,2002,3e-6,0,4000,78,6,7642,1,-0.5105761,0.0786937028169632,3.1380771000000003,2.1847231000000003
Antigua  Barbuda,58,2003,3e-6,0,4000,80,-9,7642,1,-0.5619085,0.078012615442276,3.3582695,2.2316805
Antigua  Barbuda,58,2004,3e-6,0,4000,81,-9,7642,1,-0.528168,0.07768478989601135,3.299174,2.1629959999999997
Antigua  Barbuda,58,2005,3e-6,0,5000,83,-9,7642,1,-0.6127817,0.07720053195953369,3.5072207000000004,2.2840347000000003
Antigua  Barbuda,58,2006,3e-6,0,5000,85,-9,7642,1,-0.596191,0.07689888775348663,3.47563,2.129123
Argentina,160,2001,0.005496,70,4408000,37156,6,9513,1,0.2995842,0.07688680291175842,2.2765188,1.3264808000000001
Argentina,160,2002,0.004844,69,1466000,37516,6,9513,1,0.2893591,0.07542351633310318,2.3381419,1.3847879
Argentina,160,2003,0.004785,71,1507000,37870,-9,9513,1,0.254048,0.07522682100534439,2.542313,1.415724
Argentina,160,2004,0.004797,71,1629000,38226,-9,9513,1,0.1546589,0.07554888725280762,2.6163471,1.4801691
Argentina,160,2005,0.004791,71,1780000,38592,-9,9513,1,0.1603435,0.0751323401927948,2.7340955,1.5109095000000001
Argentina,160,2006,0.00475,71,1873000,38971,-9,9513,1,0.04624076,0.07580657303333282,2.83319824,1.4866912399999999
Armenia,371,2001,6.91e-4,42,637000,3214,6,1407,0,0.1805213,0.07801619917154312,2.3955816999999997,1.4455437
Armenia,371,2002,7.06e-4,44,700000,3212,6,1407,0,0.1951978,0.07631144672632217,2.4323032,1.4789492
Armenia,371,2003,6.87e-4,45,700000,3211,-9,1407,0,0.2403181,0.07535997033119202,2.5560429,1.4294539
Armenia,371,2004,6.06e-4,46,98000,3214,-9,1407,0,0.2224043,0.07492183893918991,2.5486017,1.4124237
Armenia,371,2005,6.3e-4,48,125000,3218,-9,1407,0,0.1431067,0.07528918981552124,2.7513323,1.5281463000000002
Armenia,371,2006,6.31e-4,48,184000,3221,-9,1407,0,0.09804684,0.07539289444684982,2.7813921600000002,1.4348851599999999
Australia,900,2001,0.006525,51,6752000,19413,6,5183,1,1.016108,0.06826025992631912,1.5599949999999998,0.6099570000000001
Australia,900,2002,0.006866,51,9299000,19651,6,5183,1,1.123143,0.06488978117704391,1.504358,0.551004
Australia,900,2003,0.006756,54,11529000,19895,-9,5183,1,1.201342,0.0631677508354187,1.5950190000000002,0.4684300000000001
Australia,900,2004,0.006818,53,13907000,20127,-9,5183,1,1.346074,0.0589396208524704,1.4249319999999999,0.28875399999999996
Australia,900,2005,0.007056,52,15550000,20395,-9,5183,1,1.4246780000000001,0.0575416199862957,1.469761,0.246575
Australia,900,2006,0.007016,53,17208000,20698,-9,5183,1,1.568736,0.054947379976511,1.3107030000000002,0.03580399999999995
